BFS - Arvore de busca a partir do vertice 1
Vertice	Pai	Nivel
1		0	0
2		6297	4
3		3361	4
4		1548	3
5		3218	4
6		2782	3
7		1085	3
8		96	3
9		169	3
10		2042	3
11		3224	3
12		7677	3
13		2757	4
14		3099	3
15		7410	4
16		2831	4
17		2694	4
18		7027	3
19		9029	4
20		9543	3
21		3218	4
22		3868	4
23		9301	3
24		6464	3
25		1890	4
26		176	4
27		7982	3
28		6464	3
29		5556	3
30		7311	4
31		1018	4
32		9730	4
33		2297	4
34		1777	3
35		9519	3
36		2782	3
37		1733	4
38		2276	3
39		3486	3
40		2582	3
41		1603	3
42		8996	4
43		9543	3
44		1063	2
45		1299	2
46		3693	3
47		2853	3
48		6435	3
49		8891	3
50		4607	3
51		5942	3
52		5121	3
53		5856	3
54		8889	4
55		3752	3
56		1284	3
57		617	4
58		4288	4
59		6539	3
60		5540	4
61		2352	3
62		9016	4
63		8336	3
64		7561	3
65		9631	3
66		1731	3
67		7678	4
68		7379	3
69		9170	3
70		3600	3
71		2739	4
72		4326	3
73		2361	4
74		9587	3
75		6184	4
76		4186	3
77		8946	4
78		9901	3
79		9134	4
80		8834	3
81		4916	3
82		2678	3
83		9023	3
84		1321	3
85		8463	3
86		1171	4
87		3360	3
88		6861	3
89		9981	3
90		4605	4
91		3600	3
92		7831	3
93		7660	3
94		8404	4
95		1085	3
96		7595	2
97		4966	4
98		9284	3
99		1325	3
100		6948	3
101		1736	4
102		6435	3
103		4405	3
104		2687	3
105		5815	3
106		7769	3
107		8578	3
108		4002	3
109		8037	4
110		4649	4
111		7111	3
112		344	4
113		827	3
114		7111	3
115		2522	3
116		6479	4
117		644	3
118		1368	4
119		8334	4
120		1220	4
121		9321	3
122		5181	3
123		6159	3
124		1284	3
125		2757	4
126		7674	4
127		3354	3
128		1398	3
129		2678	3
130		6731	4
131		1085	3
132		1760	3
133		2325	3
134		8406	3
135		9587	3
136		8140	4
137		2232	4
138		8516	3
139		2191	4
140		1589	4
141		8961	3
142		2705	3
143		6157	3
144		9677	3
145		3729	3
146		3779	3
147		8064	3
148		1	1
149		5856	3
150		4732	3
151		5121	3
152		5000	3
153		1398	3
154		9677	3
155		9770	4
156		7796	4
157		7677	3
158		1063	2
159		3460	3
160		8347	4
161		5971	3
162		7769	3
163		6191	4
164		8359	3
165		9944	3
166		8743	4
167		893	3
168		482	4
169		8981	2
170		4045	4
171		4082	3
172		2888	4
173		827	3
174		9167	3
175		4135	3
176		1696	3
177		6044	4
178		8409	3
179		9944	3
180		8981	2
181		8579	4
182		8622	3
183		9519	3
184		9154	4
185		2443	3
186		2072	4
187		6705	3
188		9849	4
189		9137	3
190		4134	4
191		3360	3
192		9553	4
193		6435	3
194		8064	3
195		2969	3
196		5850	4
197		3729	3
198		8440	3
199		7146	4
200		1604	3
201		9623	3
202		5541	3
203		1946	4
204		7875	3
205		6762	4
206		800	4
207		9847	3
208		7733	3
209		4679	4
210		9321	3
211		2120	4
212		4083	3
213		9147	3
214		352	4
215		9839	4
216		3259	3
217		3310	4
218		331	2
219		3218	4
220		8678	3
221		943	4
222		4459	4
223		3822	3
224		7578	3
225		482	4
226		2321	4
227		7561	3
228		1299	2
229		4703	3
230		3346	4
231		1806	4
232		7962	2
233		5737	4
234		1655	4
235		6753	4
236		5181	3
237		2943	4
238		9175	3
239		3706	4
240		4090	4
241		6566	3
242		8340	3
243		1908	2
244		8834	3
245		3212	3
246		6100	4
247		2773	4
248		1041	4
249		9175	3
250		6434	3
251		4081	4
252		5723	4
253		4500	2
254		4584	3
255		7982	3
256		3582	4
257		8790	4
258		7010	3
259		7246	3
260		1550	3
261		6817	3
262		4709	3
263		1548	3
264		3600	3
265		1482	3
266		3822	3
267		6616	3
268		4238	4
269		2232	4
270		2623	4
271		3985	4
272		3369	3
273		4584	3
274		1468	3
275		9315	3
276		3747	3
277		7595	2
278		5631	3
279		7106	3
280		5631	3
281		8529	3
282		7331	4
283		4015	3
284		8964	4
285		8981	2
286		148	2
287		9470	4
288		253	3
289		4183	4
290		3982	3
291		9901	3
292		9848	4
293		7660	3
294		7595	2
295		662	3
296		6654	3
297		899	4
298		3369	3
299		662	3
300		9543	3
301		180	3
302		9438	4
303		6993	3
304		4100	4
305		1731	3
306		169	3
307		8307	3
308		6157	3
309		6948	3
310		812	3
311		2494	3
312		696	3
313		5130	3
314		8841	4
315		8961	3
316		3155	4
317		1211	4
318		347	4
319		9050	4
320		5143	4
321		9002	3
322		3747	3
323		7662	4
324		3985	4
325		4563	3
326		9871	4
327		8507	3
328		5133	4
329		4500	2
330		9232	3
331		1	1
332		876	4
333		8097	3
334		6235	3
335		1033	4
336		9504	4
337		294	3
338		4326	3
339		3320	4
340		2101	4
341		6817	3
342		4988	4
343		8535	3
344		4491	3
345		8919	3
346		3924	3
347		7959	3
348		1284	3
349		2304	4
350		8961	3
351		5319	3
352		7043	3
353		849	4
354		896	4
355		5858	4
356		2458	3
357		3924	3
358		9724	3
359		7183	3
360		896	4
361		2238	3
362		1604	3
363		9698	4
364		8418	4
365		3956	4
366		9710	4
367		2705	3
368		1299	2
369		966	3
370		4906	4
371		5495	3
372		2120	4
373		8791	4
374		4703	3
375		4505	4
376		1289	4
377		6736	4
378		9920	4
379		3276	4
380		8871	4
381		764	3
382		331	2
383		6824	4
384		6673	4
385		8463	3
386		5638	4
387		2450	3
388		9901	3
389		3224	3
390		2853	3
391		2069	2
392		4607	3
393		3417	3
394		9519	3
395		9232	3
396		8167	3
397		3401	3
398		3820	4
399		1716	3
400		391	3
401		3950	3
402		6738	3
403		7149	3
404		3947	4
405		5831	4
406		4015	3
407		7867	4
408		4506	4
409		9981	3
410		9327	3
411		1611	4
412		4770	3
413		3483	3
414		180	3
415		9724	3
416		8406	3
417		3237	4
418		9295	3
419		7595	2
420		4386	3
421		2001	3
422		1211	4
423		2111	4
424		7077	3
425		4086	4
426		6539	3
427		3891	3
428		2909	3
429		4828	3
430		2657	3
431		2687	3
432		6800	4
433		2069	2
434		1157	4
435		6845	3
436		8149	4
437		660	4
438		180	3
439		7708	3
440		4082	3
441		6998	3
442		5971	3
443		1676	4
444		9466	3
445		6920	4
446		5748	3
447		4135	3
448		3795	3
449		7962	2
450		8336	3
451		4075	4
452		3790	4
453		1988	4
454		6640	4
455		1288	3
456		6872	4
457		2686	4
458		4338	4
459		6370	3
460		1150	4
461		6679	3
462		5151	3
463		2678	3
464		9981	3
465		8532	3
466		1212	4
467		7099	3
468		3274	4
469		253	3
470		2496	4
471		6705	3
472		4002	3
473		9082	3
474		9050	4
475		6996	3
476		4135	3
477		9849	4
478		4828	3
479		4504	3
480		7928	4
481		650	4
482		285	3
483		6664	4
484		1976	3
485		7041	4
486		277	3
487		7762	4
488		4060	3
489		8228	3
490		4732	3
491		3259	3
492		3397	4
493		6492	4
494		4220	3
495		8512	4
496		7041	4
497		1760	3
498		3084	4
499		3099	3
500		6142	2
501		1284	3
502		9910	3
503		7196	3
504		3248	3
505		2740	4
506		3956	4
507		1297	4
508		5521	3
509		1449	3
510		1603	3
511		9858	4
512		9567	4
513		2705	3
514		6887	3
515		1323	4
516		509	4
517		854	3
518		4491	3
519		95	4
520		44	3
521		3600	3
522		9658	3
523		2499	4
524		301	4
525		7248	4
526		1869	3
527		8216	2
528		7706	4
529		7721	4
530		9309	3
531		2068	4
532		6327	4
533		3603	4
534		1419	3
535		3354	3
536		6616	3
537		8911	3
538		3801	4
539		255	4
540		5670	4
541		9777	4
542		1482	3
543		1604	3
544		5327	3
545		8140	4
546		9212	4
547		1274	3
548		3486	3
549		6312	4
550		2754	4
551		5971	3
552		2782	3
553		3872	4
554		5130	3
555		3500	4
556		4347	4
557		621	4
558		6175	4
559		3027	4
560		8183	2
561		6679	3
562		1302	4
563		1063	2
564		8370	4
565		3027	4
566		527	3
567		8227	4
568		8227	4
569		3224	3
570		7846	4
571		3079	3
572		7131	3
573		7660	3
574		9661	3
575		1321	3
576		8436	3
577		5327	3
578		1783	4
579		3706	4
580		6243	4
581		1085	3
582		2532	4
583		9175	3
584		7102	4
585		4914	4
586		4326	3
587		6988	4
588		9623	3
589		420	4
590		500	3
591		6440	4
592		8555	3
593		7113	3
594		6343	4
595		8096	4
596		4732	3
597		6861	3
598		6141	3
599		9284	3
600		1216	4
601		6136	3
602		4607	3
603		827	3
604		6861	3
605		8382	3
606		4491	3
607		5942	3
608		7840	3
609		8588	4
610		1321	3
611		6982	4
612		9446	3
613		3212	3
614		9330	4
615		3083	3
616		5781	4
617		2042	3
618		2375	4
619		7982	3
620		882	4
621		8340	3
622		8578	3
623		1343	3
624		7727	4
625		8064	3
626		7674	4
627		1342	3
628		1828	3
629		1398	3
630		560	3
631		3285	4
632		9002	3
633		8228	3
634		2394	4
635		3400	4
636		9069	4
637		3600	3
638		2994	4
639		9654	3
640		2582	3
641		9724	3
642		6928	3
643		4135	3
644		6142	2
645		8770	4
646		662	3
647		893	3
648		4560	4
649		4541	3
650		3822	3
651		1760	3
652		7113	3
653		5169	3
654		7379	3
655		187	4
656		1425	4
657		2623	4
658		3891	3
659		2912	4
660		8340	3
661		560	3
662		7616	2
663		3490	4
664		253	3
665		7664	3
666		890	4
667		7710	4
668		5834	4
669		6986	4
670		449	3
671		8990	4
672		2853	3
673		2445	3
674		896	4
675		3779	3
676		3361	4
677		6544	4
678		1030	3
679		9168	4
680		5874	3
681		1603	3
682		5748	3
683		5959	4
684		1419	3
685		5441	4
686		5278	4
687		5488	4
688		6432	3
689		4740	3
690		4541	3
691		8270	4
692		176	4
693		3636	3
694		7561	3
695		1696	3
696		1063	2
697		7733	3
698		800	4
699		2278	4
700		2310	4
701		825	3
702		3274	4
703		5611	3
704		6210	3
705		9759	3
706		9858	4
707		3221	4
708		1549	4
709		8222	4
710		8228	3
711		3425	4
712		471	4
713		9167	3
714		5397	4
715		148	2
716		7120	4
717		5634	3
718		899	4
719		1550	3
720		4083	3
721		1561	3
722		9591	3
723		791	4
724		8064	3
725		3237	4
726		5328	4
727		890	4
728		9137	3
729		2811	4
730		3043	4
731		3600	3
732		2606	3
733		3950	3
734		4201	4
735		96	3
736		5562	4
737		9327	3
738		5083	3
739		6123	3
740		6845	3
741		6845	3
742		966	3
743		9623	3
744		1171	4
745		9519	3
746		6406	4
747		8257	3
748		494	4
749		176	4
750		1418	3
751		3084	4
752		4357	4
753		8257	3
754		3083	3
755		3325	4
756		1716	3
757		9167	3
758		5714	3
759		8266	3
760		6705	3
761		4455	4
762		6211	3
763		1275	4
764		7616	2
765		1033	4
766		9847	3
767		3890	4
768		8800	4
769		7399	4
770		148	2
771		2319	4
772		6920	4
773		4891	3
774		696	3
775		294	3
776		2881	3
777		6899	4
778		6640	4
779		7131	3
780		5815	3
781		1828	3
782		9957	3
783		7183	3
784		5327	3
785		5342	4
786		8556	4
787		3055	3
788		9648	4
789		4504	3
790		3795	3
791		4519	3
792		7561	3
793		5265	3
794		3843	3
795		8296	4
796		5011	3
797		3369	3
798		9938	4
799		7353	4
800		1449	3
801		180	3
802		5942	3
803		9981	3
804		1325	3
805		9309	3
806		3299	3
807		3600	3
808		7027	3
809		8622	3
810		1976	3
811		7664	3
812		1299	2
813		9656	4
814		6803	4
815		5521	3
816		2224	3
817		5918	4
818		9724	3
819		5224	3
820		169	3
821		3982	3
822		2757	4
823		2111	4
824		770	3
825		7962	2
826		6003	3
827		4500	2
828		9023	3
829		9494	3
830		1543	4
831		7497	4
832		5865	3
833		1911	4
834		904	4
835		8204	4
836		2383	4
837		3028	4
838		6574	4
839		7957	4
840		4607	3
841		1323	4
842		2598	4
843		6817	3
844		1419	3
845		6887	3
846		2678	3
847		662	3
848		3401	3
849		8507	3
850		5631	3
851		3322	4
852		9654	3
853		4584	3
854		2791	2
855		7664	3
856		9082	3
857		4770	3
858		263	4
859		4220	3
860		3360	3
861		9446	3
862		6367	4
863		228	3
864		527	3
865		7521	4
866		9494	3
867		1696	3
868		8054	4
869		9322	3
870		5319	3
871		2888	4
872		1343	3
873		3460	3
874		1565	4
875		8622	3
876		1696	3
877		4906	4
878		1425	4
879		3950	3
880		1145	4
881		3360	3
882		7043	3
883		4916	3
884		4207	3
885		4083	3
886		6872	4
887		6996	3
888		8334	4
889		7959	3
890		3636	3
891		3360	3
892		8678	3
893		1063	2
894		1851	3
895		7313	4
896		5083	3
897		2176	4
898		1589	4
899		6705	3
900		5909	3
901		8890	4
902		3490	4
903		6235	3
904		6464	3
905		8463	3
906		5133	4
907		1550	3
908		6647	3
909		1440	3
910		9889	4
911		6910	3
912		8463	3
913		1548	3
914		8703	3
915		2076	4
916		9322	3
917		882	4
918		8947	4
919		537	4
920		4201	4
921		9419	4
922		6679	3
923		7662	4
924		8273	4
925		6738	3
926		1492	4
927		7852	4
928		1733	4
929		8990	4
930		2496	4
931		731	4
932		3018	4
933		6136	3
934		5874	3
935		3483	3
936		1368	4
937		5825	4
938		6434	3
939		1757	3
940		449	3
941		9901	3
942		4164	4
943		1561	3
944		9145	3
945		9466	3
946		9110	4
947		6817	3
948		3753	4
949		9957	3
950		3417	3
951		8334	4
952		3919	4
953		7816	3
954		5556	3
955		6235	3
956		4671	4
957		5265	3
958		9677	3
959		1482	3
960		5013	4
961		8266	3
962		4487	3
963		7434	3
964		1890	4
965		8298	3
966		7595	2
967		7660	3
968		7192	3
969		5539	4
970		3779	3
971		5143	4
972		2042	3
973		9530	4
974		1321	3
975		96	3
976		8277	4
977		1368	4
978		4104	3
979		6157	3
980		1284	3
981		4082	3
982		2881	3
983		3244	4
984		5482	3
985		5604	3
986		5943	4
987		7817	4
988		3224	3
989		391	3
990		1696	3
991		1976	3
992		6586	4
993		9170	3
994		6539	3
995		3308	3
996		4344	4
997		7662	4
998		4519	3
999		2276	3
1000		8463	3
1001		6221	4
1002		4526	4
1003		4828	3
1004		7947	4
1005		5169	3
1006		6597	4
1007		9981	3
1008		3752	3
1009		8265	4
1010		5158	4
1011		5541	3
1012		2445	3
1013		96	3
1014		5737	4
1015		7560	4
1016		4086	4
1017		9023	3
1018		169	3
1019		581	4
1020		5693	3
1021		2611	3
1022		1539	4
1023		3779	3
1024		227	4
1025		1368	4
1026		5553	4
1027		8436	3
1028		329	3
1029		9763	4
1030		1299	2
1031		3613	3
1032		8382	3
1033		6705	3
1034		8307	3
1035		2460	4
1036		9466	3
1037		3165	4
1038		5319	3
1039		9724	3
1040		5959	4
1041		6123	3
1042		3565	4
1043		1284	3
1044		4854	3
1045		27	4
1046		8406	3
1047		9685	3
1048		8228	3
1049		5739	4
1050		5533	4
1051		6803	4
1052		1231	4
1053		6647	3
1054		6924	3
1055		1402	3
1056		5000	3
1057		1603	3
1058		2909	3
1059		1696	3
1060		4413	4
1061		2678	3
1062		3473	4
1063		1	1
1064		5490	4
1065		1976	3
1066		2791	2
1067		8743	4
1068		7478	3
1069		1908	2
1070		2924	4
1071		2623	4
1072		2120	4
1073		943	4
1074		1079	3
1075		2724	4
1076		653	4
1077		904	4
1078		827	3
1079		2031	2
1080		4060	3
1081		8295	3
1082		6370	3
1083		9567	4
1084		7769	3
1085		6142	2
1086		4828	3
1087		758	4
1088		3752	3
1089		5693	3
1090		7438	3
1091		8879	4
1092		1851	3
1093		9483	4
1094		3028	4
1095		8516	3
1096		6566	3
1097		6928	3
1098		9800	3
1099		1468	3
1100		9440	3
1101		7706	4
1102		6210	3
1103		5371	4
1104		3299	3
1105		1066	3
1106		2791	2
1107		8097	3
1108		228	3
1109		8222	4
1110		2611	3
1111		8336	3
1112		7991	4
1113		8516	3
1114		9684	3
1115		45	3
1116		8781	4
1117		2067	4
1118		1738	4
1119		9494	3
1120		7311	4
1121		2042	3
1122		1274	3
1123		5739	4
1124		4086	4
1125		1368	4
1126		3752	3
1127		4203	4
1128		7618	4
1129		1285	4
1130		7840	3
1131		4363	4
1132		1929	3
1133		4291	4
1134		4971	4
1135		4587	3
1136		6222	4
1137		5672	3
1138		4248	4
1139		3919	4
1140		7438	3
1141		8532	3
1142		4614	3
1143		6993	3
1144		1248	3
1145		6705	3
1146		9938	4
1147		770	3
1148		9145	3
1149		3982	3
1150		2261	3
1151		4135	3
1152		966	3
1153		1539	4
1154		218	3
1155		8961	3
1156		2782	3
1157		1604	3
1158		7185	3
1159		2560	4
1160		5198	4
1161		1274	3
1162		7706	4
1163		5122	3
1164		1325	3
1165		8733	4
1166		3212	3
1167		6023	4
1168		3795	3
1169		8790	4
1170		5623	4
1171		7959	3
1172		3369	3
1173		1216	4
1174		4207	3
1175		7467	4
1176		1424	4
1177		8436	3
1178		7710	4
1179		8390	2
1180		5083	3
1181		3460	3
1182		8678	3
1183		4519	3
1184		4164	4
1185		8239	3
1186		232	3
1187		9654	3
1188		8680	4
1189		6861	3
1190		6948	3
1191		4253	4
1192		9543	3
1193		5850	4
1194		8409	3
1195		3693	3
1196		6566	3
1197		1733	4
1198		966	3
1199		96	3
1200		9007	3
1201		4906	4
1202		1063	2
1203		6369	4
1204		4201	4
1205		9419	4
1206		3248	3
1207		8266	3
1208		6847	4
1209		329	3
1210		1548	3
1211		5169	3
1212		4732	3
1213		5126	3
1214		4584	3
1215		6654	3
1216		9981	3
1217		8029	4
1218		6738	3
1219		644	3
1220		4386	3
1221		8555	3
1222		2460	4
1223		4828	3
1224		3417	3
1225		9585	4
1226		4086	4
1227		5327	3
1228		3697	4
1229		812	3
1230		8791	4
1231		3636	3
1232		4183	4
1233		5410	3
1234		6187	3
1235		2853	3
1236		344	4
1237		5122	3
1238		1561	3
1239		9797	4
1240		9863	3
1241		4027	4
1242		1707	3
1243		6616	3
1244		5856	3
1245		2006	4
1246		7077	3
1247		6435	3
1248		331	2
1249		825	3
1250		1976	3
1251		2758	3
1252		9212	4
1253		4405	3
1254		1419	3
1255		1731	3
1256		6157	3
1257		1716	3
1258		8703	3
1259		4515	3
1260		5265	3
1261		5943	4
1262		2761	4
1263		8239	3
1264		6448	4
1265		7410	4
1266		3090	3
1267		9315	3
1268		1325	3
1269		218	3
1270		5943	4
1271		2958	3
1272		3982	3
1273		8182	4
1274		1908	2
1275		9658	3
1276		6434	3
1277		7928	4
1278		7928	4
1279		5612	3
1280		6157	3
1281		5028	4
1282		7796	4
1283		5106	4
1284		1299	2
1285		1449	3
1286		4	4
1287		2232	4
1288		1063	2
1289		3369	3
1290		8687	4
1291		8555	3
1292		6175	4
1293		8054	4
1294		347	4
1295		232	3
1296		9082	3
1297		9981	3
1298		2694	4
1299		1	1
1300		8340	3
1301		2687	3
1302		180	3
1303		8228	3
1304		7118	3
1305		9	4
1306		6610	4
1307		6887	3
1308		6673	4
1309		9654	3
1310		2494	3
1311		6529	4
1312		8622	3
1313		8535	3
1314		1633	4
1315		3145	4
1316		6586	4
1317		4891	3
1318		4164	4
1319		232	3
1320		2909	3
1321		7616	2
1322		9543	3
1323		1696	3
1324		7664	3
1325		7595	2
1326		6159	3
1327		8359	3
1328		6018	4
1329		1465	4
1330		760	4
1331		682	4
1332		9232	3
1333		9964	4
1334		7027	3
1335		882	4
1336		3600	3
1337		1741	4
1338		5725	4
1339		6817	3
1340		4138	4
1341		7033	3
1342		1063	2
1343		8183	2
1344		45	3
1345		7120	4
1346		5011	3
1347		6274	3
1348		5813	4
1349		6235	3
1350		5856	3
1351		3600	3
1352		1121	4
1353		8266	3
1354		890	4
1355		8891	3
1356		3904	4
1357		1440	3
1358		4770	3
1359		446	4
1360		5124	4
1361		3299	3
1362		3237	4
1363		4186	3
1364		6123	3
1365		6567	4
1366		197	4
1367		7335	3
1368		3822	3
1369		9679	4
1370		2782	3
1371		1716	3
1372		4692	3
1373		368	3
1374		6679	3
1375		1757	3
1376		812	3
1377		8148	4
1378		471	4
1379		5541	3
1380		8611	4
1381		7831	3
1382		9684	3
1383		5000	3
1384		1589	4
1385		5298	4
1386		9544	3
1387		7114	4
1388		6044	4
1389		4692	3
1390		2313	4
1391		9145	3
1392		2494	3
1393		6996	3
1394		5714	3
1395		8054	4
1396		6274	3
1397		2703	3
1398		7962	2
1399		1482	3
1400		9068	3
1401		792	4
1402		7616	2
1403		5815	3
1404		9494	3
1405		9215	4
1406		2582	3
1407		6647	3
1408		4703	3
1409		7982	3
1410		1033	4
1411		1548	3
1412		3066	4
1413		6996	3
1414		5748	3
1415		4363	4
1416		232	3
1417		8516	3
1418		8183	2
1419		331	2
1420		2445	3
1421		9781	4
1422		6157	3
1423		2042	3
1424		9724	3
1425		8834	3
1426		9327	3
1427		2238	3
1428		4813	3
1429		9145	3
1430		9721	3
1431		9315	3
1432		4203	4
1433		696	3
1434		8834	3
1435		8550	4
1436		1419	3
1437		1790	4
1438		362	4
1439		2522	3
1440		6644	2
1441		4135	3
1442		2352	3
1443		3891	3
1444		3308	3
1445		5415	4
1446		5987	3
1447		1929	3
1448		5987	3
1449		8981	2
1450		1449	3
1451		5569	4
1452		1121	4
1453		3361	4
1454		4060	3
1455		5714	3
1456		9446	3
1457		9654	3
1458		8834	3
1459		8550	4
1460		5604	3
1461		1066	3
1462		2424	4
1463		2150	3
1464		3308	3
1465		9631	3
1466		5522	4
1467		3340	3
1468		8390	2
1469		4345	3
1470		5482	3
1471		2657	3
1472		4150	4
1473		389	4
1474		1539	4
1475		4563	3
1476		9743	4
1477		2994	4
1478		3086	4
1479		491	4
1480		3985	4
1481		1976	3
1482		1908	2
1483		8732	4
1484		4504	3
1485		3393	4
1486		9284	3
1487		89	4
1488		9654	3
1489		1572	4
1490		1066	3
1491		4619	4
1492		6443	3
1493		9068	3
1494		9648	4
1495		5371	4
1496		7578	3
1497		893	3
1498		2606	3
1499		4770	3
1500		2383	4
1501		3697	4
1502		8947	4
1503		1738	4
1504		9295	3
1505		4238	4
1506		3188	3
1507		391	3
1508		2388	4
1509		389	4
1510		8166	3
1511		1548	3
1512		7982	3
1513		1543	4
1514		8166	3
1515		9981	3
1516		471	4
1517		9401	4
1518		1482	3
1519		8962	4
1520		2091	4
1521		329	3
1522		7835	4
1523		2739	4
1524		449	3
1525		1285	4
1526		1351	4
1527		7027	3
1528		2091	4
1529		1418	3
1530		2853	3
1531		9544	3
1532		1343	3
1533		6996	3
1534		2352	3
1535		8679	3
1536		8507	3
1537		7311	4
1538		3361	4
1539		3636	3
1540		1240	4
1541		3891	3
1542		9068	3
1543		169	3
1544		7736	4
1545		4770	3
1546		1604	3
1547		7023	3
1548		6142	2
1549		3636	3
1550		4500	2
1551		6998	3
1552		7321	4
1553		4587	3
1554		3037	4
1555		1496	4
1556		7023	3
1557		662	3
1558		3795	3
1559		695	4
1560		218	3
1561		8981	2
1562		96	3
1563		8753	3
1564		4326	3
1565		9591	3
1566		2831	4
1567		3079	3
1568		9944	3
1569		5748	3
1570		5856	3
1571		391	3
1572		3483	3
1573		6928	3
1574		8578	3
1575		2532	4
1576		6369	4
1577		7521	4
1578		4703	3
1579		7721	4
1580		8879	4
1581		1851	3
1582		6191	4
1583		5623	4
1584		8790	4
1585		9661	3
1586		6443	3
1587		491	4
1588		8064	3
1589		8340	3
1590		5397	4
1591		1179	3
1592		4060	3
1593		1121	4
1594		4238	4
1595		9629	4
1596		9008	3
1597		8347	4
1598		1402	3
1599		3165	4
1600		5106	4
1601		4082	3
1602		3805	4
1603		8216	2
1604		8981	2
1605		9654	3
1606		8002	4
1607		1086	4
1608		1468	3
1609		277	3
1610		693	4
1611		8911	3
1612		5693	3
1613		285	3
1614		9068	3
1615		876	4
1616		3240	3
1617		4500	2
1618		2522	3
1619		7423	4
1620		2611	3
1621		2520	4
1622		7662	4
1623		7816	3
1624		5772	4
1625		6613	4
1626		9208	4
1627		347	4
1628		4740	3
1629		4207	3
1630		8327	4
1631		2238	3
1632		8961	3
1633		9145	3
1634		3801	4
1635		2238	3
1636		8609	4
1637		764	3
1638		1089	4
1639		7109	4
1640		1347	4
1641		3600	3
1642		6440	4
1643		3795	3
1644		3972	4
1645		176	4
1646		4175	4
1647		9068	3
1648		9252	3
1649		8270	4
1650		6899	4
1651		9545	4
1652		3747	3
1653		6123	3
1654		5327	3
1655		8834	3
1656		825	3
1657		1418	3
1658		1738	4
1659		3956	4
1660		391	3
1661		218	3
1662		9944	3
1663		9724	3
1664		6679	3
1665		2910	4
1666		3286	4
1667		5350	4
1668		2069	2
1669		9145	3
1670		4363	4
1671		9759	3
1672		5011	3
1673		218	3
1674		8406	3
1675		3490	4
1676		1561	3
1677		7150	4
1678		2276	3
1679		5415	4
1680		7478	3
1681		8490	4
1682		1603	3
1683		5509	3
1684		1851	3
1685		7095	3
1686		9759	3
1687		2224	3
1688		5813	4
1689		8064	3
1690		5224	3
1691		8406	3
1692		6440	4
1693		6285	4
1694		7010	3
1695		4104	3
1696		8981	2
1697		1710	4
1698		563	3
1699		7870	3
1700		8951	4
1701		3697	4
1702		4338	4
1703		5942	3
1704		6159	3
1705		2520	4
1706		3340	3
1707		2069	2
1708		9871	4
1709		4104	3
1710		6157	3
1711		764	3
1712		1828	3
1713		7023	3
1714		7311	4
1715		44	3
1716		1908	2
1717		6738	3
1718		4000	4
1719		4491	3
1720		1696	3
1721		9320	4
1722		696	3
1723		2507	4
1724		527	3
1725		7518	3
1726		3653	4
1727		3417	3
1728		9182	4
1729		1300	4
1730		8266	3
1731		8216	2
1732		7111	3
1733		7043	3
1734		6683	4
1735		5874	3
1736		644	3
1737		882	4
1738		7959	3
1739		1325	3
1740		5000	3
1741		5083	3
1742		7141	4
1743		6586	4
1744		1321	3
1745		4504	3
1746		3891	3
1747		329	3
1748		5328	4
1749		294	3
1750		7196	3
1751		9007	3
1752		4164	4
1753		509	4
1754		8753	3
1755		3752	3
1756		4419	4
1757		8183	2
1758		7183	3
1759		5129	4
1760		7962	2
1761		4205	3
1762		8610	4
1763		2042	3
1764		7831	3
1765		7959	3
1766		7077	3
1767		7077	3
1768		3293	4
1769		2705	3
1770		391	3
1771		1543	4
1772		1707	3
1773		8507	3
1774		9147	3
1775		6274	3
1776		9545	4
1777		1063	2
1778		9315	3
1779		9721	3
1780		1716	3
1781		2941	4
1782		2611	3
1783		9863	3
1784		653	4
1785		6157	3
1786		5644	4
1787		9535	4
1788		8753	3
1789		2596	4
1790		7959	3
1791		4491	3
1792		4270	4
1793		5224	3
1794		2388	4
1795		4220	3
1796		3729	3
1797		1323	4
1798		7840	3
1799		5634	3
1800		6142	2
1801		4541	3
1802		4935	4
1803		7099	3
1804		2494	3
1805		7149	3
1806		3729	3
1807		4205	3
1808		9320	4
1809		9413	4
1810		9167	3
1811		8265	4
1812		3483	3
