DFS - Arvore de busca a partir do vertice 1
Vertice	Pai	Nivel
1		0	0
2		1051	516
3		356	401
4		95	36
5		975	266
6		537	119
7		1085	105
8		34	474
9		602	186
10		709	234
11		1288	58
12		286	3
13		441	561
14		303	312
15		1244	884
16		795	710
17		36	43
18		32	112
19		1154	470
20		666	383
21		1470	1353
22		622	527
23		1035	423
24		1260	835
25		171	154
26		176	341
27		169	188
28		146	1516
29		394	436
30		86	209
31		432	202
32		321	111
33		202	525
34		150	473
35		1466	206
36		306	42
37		470	218
38		111	290
39		514	387
40		37	219
41		1603	791
42		374	504
43		139	227
44		467	100
45		3550	21
46		1644	726
47		1087	629
48		930	957
49		499	327
50		1247	863
51		1129	412
52		347	159
53		869	333
54		538	324
55		292	92
56		822	421
57		165	633
58		1304	1649
59		143	61
60		1626	2053
61		2402	1132
62		719	31
63		2121	2084
64		2346	1202
65		689	355
66		410	331
67		797	47
68		678	643
69		216	349
70		1292	109
71		1002	901
72		264	40
73		1006	656
74		1557	464
75		589	117
76		291	12
77		173	125
78		2004	1223
79		1082	801
80		44	101
81		336	308
82		435	262
83		863	460
84		552	839
85		1888	894
86		996	208
87		920	403
88		1588	622
89		1231	1311
90		2456	907
91		39	388
92		586	405
93		288	80
94		98	19
95		201	35
96		8	475
97		703	65
98		713	18
99		1325	1781
100		912	277
101		198	426
102		212	122
103		546	97
104		750	548
105		2339	556
106		758	510
107		902	671
108		1092	457
109		177	1541
110		3191	229
111		570	289
112		1094	407
113		827	713
114		254	139
115		2104	1075
116		1820	156
117		1832	558
118		1634	729
119		818	439
120		2137	240
121		621	303
122		6	120
123		526	292
124		1828	396
125		989	647
126		748	319
127		465	182
128		1813	1625
129		2401	1015
130		2075	1543
131		898	103
132		396	10
133		484	329
134		81	309
135		721	1364
136		2324	566
137		311	359
138		609	575
139		215	226
140		1619	391
141		597	251
142		387	128
143		1492	60
144		2510	767
145		1965	337
146		1257	1515
147		5	267
148		1	1
149		1119	343
150		804	472
151		1971	716
152		1936	95
153		464	448
154		2665	1738
155		1344	787
156		1148	1416
157		448	1013
158		1008	63
159		433	1052
160		231	88
161		260	5
162		904	399
163		685	654
164		1388	738
165		335	632
166		834	485
167		1984	1607
168		482	543
169		9	187
170		262	27
171		520	153
172		2196	879
173		886	124
174		296	374
175		310	626
176		749	340
177		1670	1540
178		643	82
179		569	221
180		301	194
181		348	847
182		2886	178
183		444	1064
184		1241	1399
185		1267	494
186		1712	755
187		655	75
188		1926	1044
189		938	658
190		427	662
191		1553	1896
192		2372	173
193		476	640
194		496	523
195		18	113
196		474	133
197		127	183
198		325	425
199		161	6
200		1594	151
201		564	34
202		194	524
203		1448	377
204		746	275
205		807	85
206		2058	314
207		51	413
208		1049	1087
209		1378	696
210		360	693
211		2120	1636
212		122	121
213		830	521
214		352	259
215		536	225
216		265	348
217		1479	1126
218		331	468
219		2776	830
220		440	147
221		388	23
222		91	389
223		2399	2063
224		297	15
225		1265	541
226		630	745
227		1024	733
228		497	282
229		1982	912
230		349	757
231		1473	87
232		1416	479
233		575	858
234		970	794
235		650	381
236		2718	1314
237		1787	1775
238		1326	1536
239		392	295
240		1047	269
241		2692	8
242		1020	649
243		232	480
244		806	445
245		1131	264
246		343	69
247		517	167
248		1751	191
249		458	1079
250		1614	1038
251		593	368
252		1387	860
253		381	78
254		771	138
255		123	293
256		221	24
257		1089	573
258		124	397
259		1617	1392
260		12	4
261		79	802
262		553	26
263		858	242
264		450	39
265		702	347
266		1079	535
267		207	414
268		742	518
269		946	799
270		246	70
271		195	114
272		659	854
273		77	126
274		528	443
275		174	375
276		228	283
277		414	196
278		375	322
279		2064	1305
280		1913	1665
281		197	184
282		1989	1474
283		1042	285
284		4080	3258
285		1613	1185
286		148	2
287		896	539
288		253	79
289		1174	964
290		832	578
291		132	11
292		686	91
293		357	784
294		337	55
295		203	378
296		979	373
297		899	14
298		85	895
299		662	497
300		294	56
301		847	193
302		1214	1004
303		491	311
304		361	45
305		368	652
306		72	41
307		2161	1821
308		960	1193
309		41	792
310		466	625
311		762	358
312		473	687
313		1681	2575
314		355	180
315		1437	571
316		917	1166
317		773	169
318		943	616
319		1688	2836
320		1361	778
321		70	110
322		138	576
323		910	930
324		1064	610
325		23	424
326		2037	1437
327		358	489
328		324	611
329		1209	551
330		1285	1231
331		382	467
332		110	230
333		1581	750
334		1365	816
335		1033	631
336		574	307
337		439	54
338		2644	595
339		549	506
340		1556	249
341		954	1156
342		1105	970
343		1032	68
344		112	408
345		1058	212
346		119	440
347		959	158
348		1284	846
349		186	756
350		1637	1501
351		984	143
352		805	258
353		153	449
354		576	537
355		182	179
356		162	400
357		1019	783
358		646	488
359		1709	890
360		1781	692
361		17	44
362		567	199
363		539	365
364		892	707
365		845	876
366		239	296
367		1368	928
368		1373	651
369		922	161
370		1135	1357
371		452	1366
372		1958	1555
373		417	677
374		1287	503
375		1239	321
376		363	366
377		250	1039
378		1469	1058
379		24	836
380		839	299
381		764	77
382		1115	466
383		603	683
384		1408	1282
385		1938	1765
386		780	701
387		273	127
388		45	22
389		641	843
390		2816	1163
391		1300	272
392		255	294
393		2205	370
394		767	435
395		2584	740
396		241	9
397		1160	719
398		1871	1814
399		1517	136
400		391	273
401		351	144
402		651	988
403		2029	774
404		1053	483
405		2478	1472
406		4	37
407		1500	1263
408		1081	1195
409		2423	813
410		133	330
411		1611	919
412		2810	804
413		1198	1246
414		180	195
415		2783	1449
416		1141	939
417		731	676
418		516	256
419		993	1212
420		271	115
421		623	165
422		178	83
423		953	922
424		2529	2474
425		181	848
426		1116	899
427		1767	661
428		2265	587
429		2032	1260
430		369	162
431		1276	363
432		1400	201
433		1367	1051
434		214	260
435		434	261
436		397	720
437		611	568
438		1293	546
439		2023	53
440		463	146
441		634	560
442		1322	999
443		1371	1562
444		582	1063
445		1003	1114
446		68	644
447		876	232
448		1451	1012
449		670	699
450		406	38
451		267	415
452		135	1365
453		455	635
454		1895	1685
455		57	634
456		478	1505
457		365	877
458		2169	1078
459		2321	933
460		1150	1020
461		53	334
462		389	844
463		401	145
464		1037	447
465		314	181
466		1004	624
467		978	99
468		1393	1324
469		668	723
470		534	217
471		712	393
472		955	589
473		1271	686
474		885	132
475		600	666
476		1068	639
477		30	210
478		1987	1504
479		1104	1105
480		118	730
481		295	379
482		225	542
483		299	498
484		49	328
485		1230	215
486		277	197
487		84	840
488		573	1042
489		660	681
490		1453	1638
491		134	310
492		1208	72
493		724	826
494		698	317
495		1846	1972
496		213	522
497		1465	281
